jop_title,company_name,exp_level,jop_details,link,
Data Engineer,Andela,4 - 9 Yrs of Exp,Full TimeFreelance / ProjectWork From HomeExperienced · 4 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Data Science · Data,https://wuzzuf.net/jobs/p/AzlyfhO4TiE4-Data-Engineer-Andela-Cairo-Egypt?o=1&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Data Engineer,Kalasko,3 - 6 Yrs of Exp,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Information Technology (IT) · Data Engineering · Git · SQL · DevOps · Azure · AWS,https://wuzzuf.net/jobs/p/9pa35ndrMocC-Senior-Data-Engineer-Kalasko-Red-Sea-Egypt?o=2&l=sp&t=sj&a=data science|search-v3|navbl, 
Senior Integration Engineer [IBM APIC & Data power],Ejada (Cairo),3 - 6 Yrs of Exp,Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Business Intelligence · Engineering · BI · Oracle · SQL · RESTful APIs Design · SOAP Interface Design,https://wuzzuf.net/jobs/p/QMt1FFUk7IIy-Senior-Integration-Engineer-IBM-APIC-Data-power-Ejada-Cairo-Cairo-Egypt?o=3&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Analyst / Senior Data Analyst / Data Architect,National System LLC,2+ Yrs of Exp,Full TimeExperienced · 2+ Yrs of Exp · Banking · Analyst/Research · Data Analysis · Data · Analysis · Data Analyst · Senior Data Analyst · Data Architecture · Data Architect · Data Science,https://wuzzuf.net/jobs/p/y7LpQDPafNJr-Data-Analyst-Senior-Data-Analyst-Data-Architect-National-System-LLC-Cairo-Egypt?o=4&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Analyst,Egybell,5 - 10 Yrs of Exp,Full TimeExperienced · 5 - 10 Yrs of Exp · Analyst/Research · Data · Analysis · Data Analysis · Data Management · Computer Science,https://wuzzuf.net/jobs/p/p38eXkxTOZyp-Data-Analyst-Egybell-Giza-Egypt?o=5&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Analyst,GPS,5+ Yrs of Exp,Full TimeExperienced · 5+ Yrs of Exp · Analyst/Research · Analysis · analytical · Data Analysis · Reporting · Computer Science · English · MS Office,https://wuzzuf.net/jobs/p/vNez1Astsgfw-Data-Analyst-GPS-Cairo-Egypt?o=6&l=sp&t=sj&a=data science|search-v3|navbl, 
Operational Data Administrator,International Advanced ,4 - 8 Yrs of Exp,Full TimeExperienced · 4 - 8 Yrs of Exp · Administration · Operations/Management · Administration · Computer Science · Engineering · Management · Operations · Software Engineering · Software · Data Entry,https://wuzzuf.net/jobs/p/DGMwy7eTiMSv-Operational-Data-Administrator-International-Advanced-Cairo-Egypt?o=7&l=sp&t=sj&a=data science|search-v3|navbl, 
Data Management Specialist,M.Srour,0 - 2 Yrs of Exp,Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Microsoft Excel · Data Entry · Data Analysis · Microsoft Office · Business Analysis · Computer Science,https://wuzzuf.net/jobs/p/owHHtYyL6L6t-Data-Management-Specialist-M-Srour-Giza-Egypt?o=8&l=sp&t=sj&a=data science|search-v3|navbl, 
Java Competence Lead (Java/Big Data Unit),Sceel.io,4+ Yrs of Exp,Full TimeWork From HomeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java Programming · Computer Science · Software Development · Information Technology (IT) · Java · Programming · Software · Testing,https://wuzzuf.net/jobs/p/gzn0vNbgbB7h-Java-Competence-Lead-JavaBig-Data-Unit-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=data science|search-v3|navbl, 
Test Automation Engineer (Big Data),Sceel.io,3 - 7 Yrs of Exp,Full TimeWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Java · API · DevOps · Git · Software Testing · Automation Testing · Selenium,https://wuzzuf.net/jobs/p/ZmIE2Odoxgym-Test-Automation-Engineer-Big-Data-Sceel-io-Cairo-Egypt?o=10&l=sp&t=sj&a=data science|search-v3|navbl, 
